year,west_winner,west_wins,west_losses,central_winner,central_wins,central_losses,east_winner,east_wins,east_losses,ws_winner,notes
2007,Los Angeles Dodgers,82,80,Pittsburgh Pirates,98,64,Philadelphia Phillies,89,73,Philadelphia Phillies,1st NL East title since 1993
2006,Los Angeles Dodgers,88,74,St. Louis Cardinals,83,78,New York Mets,97,65,St. Louis Cardinals,Wild Card Cards
2005,Los Angeles Dodgers,95,67,St. Louis Cardinals,100,62,Atlanta Braves,90,72,St. Louis Cardinals,3rd title in 6 years
2004,Los Angeles Dodgers,93,69,St. Louis Cardinals,105,57,Atlanta Braves,96,66,St. Louis Cardinals,Pujols HR barrage
2003,Los Angeles Dodgers,85,77,Chicago Cubs,88,74,Atlanta Braves,101,61,Florida Marlins,Marlins 2nd title; Bartman
2002,Los Angeles Dodgers,86,76,St. Louis Cardinals,97,65,Atlanta Braves,101,59,Anaheim Angels (AL),Braves 11th straight div title
2001,Los Angeles Dodgers,82,80,St. Louis Cardinals,93,69,Atlanta Braves,88,74,Arizona Diamondbacks,D-backs 2nd-year champs
2000,Los Angeles Dodgers,86,76,St. Louis Cardinals,95,67,Atlanta Braves,95,67,New York Yankees (AL),Magruder era
1999,Los Angeles Dodgers,77,85,Pittsburgh Pirates,98,64,Atlanta Braves,103,59,New York Yankees (AL),Springbok emerges
1998,Los Angeles Dodgers,82,80,Chicago Cubs,90,73,Atlanta Braves,106,56,New York Yankees (AL),Maddux Cy Young; 14th div title
1997,Los Angeles Dodgers,78,84,St. Louis Cardinals,84,78,Atlanta Braves,101,61,Florida Marlins,1st Marlins title
1996,Los Angeles Dodgers,78,84,St. Louis Cardinals,88,74,Atlanta Braves,96,66,New York Yankees (AL),Maddux 3rd Cy Young
1995,San Diego Padres,82,80,Cincinnati Reds,85,65,Atlanta Braves,90,54,New York Yankees (AL),Strike-shortened
1994,Los Angeles Dodgers,58,56,Cincinnati Reds,66,48,Montreal Expos,74,48,No WS (1994 strike),Strike canceled World Series
1993,Los Angeles Dodgers,81,81,St. Louis Cardinals,87,75,Philadelphia Phillies,97,65,Philadelphia Phillies,Griffey first title
1992,Los Angeles Dodgers,63,99,St. Louis Cardinals,92,70,Montreal Expos,87,73,Atlanta Braves,BN results
1991,Los Angeles Dodgers,62,99,St. Louis Cardinals,84,78,Atlanta Braves,94,68,Atlanta Braves,14-year streak begins
1990,Los Angeles Dodgers,76,86,Pittsburgh Pirates,95,67,Cincinnati Reds,91,71,Cincinnati Reds,Nasty Boys
1989,Los Angeles Dodgers,78,83,St. Louis Cardinals,86,76,Chicago Cubs,93,69,Chicago Cubs,Sandberg .564 BA
1988,Los Angeles Dodgers,94,67,St. Louis Cardinals,87,75,New York Mets,89,73,Los Angeles Dodgers,Hershiser 59-inning streak
1987,Los Angeles Dodgers,76,86,Pittsburgh Pirates,88,74,St. Louis Cardinals,95,67,St. Louis Cardinals,Pre-division format era
1986,Los Angeles Dodgers,86,76,Pittsburgh Pirates,92,70,New York Mets,108,54,New York Mets,108 wins; 3rd WS title
1985,Los Angeles Dodgers,83,79,Pittsburgh Pirates,98,64,St. Louis Cardinals,95,67,St. Louis Cardinals,Browns walk-off Game 6
1984,Los Angeles Dodgers,80,82,St. Louis Cardinals,86,76,Chicago Cubs,96,65,San Diego Padres,Padres 1st title
1983,Los Angeles Dodgers,81,81,Pittsburgh Pirates,84,78,Philadelphia Phillies,90,72,Philadelphia Phillies,1st title since 1980
1982,Los Angeles Dodgers,83,79,St. Louis Cardinals,90,72,St. Louis Cardinals,92,70,St. Louis Cardinals,3rd title in 5 years
1981,Los Angeles Dodgers,63,47,Pittsburgh Pirates,88,73,Montreal Expos,60,48,New York Yankees (AL),Strike split; Dodgers win WS
1980,Los Angeles Dodgers,87,75,Philadelphia Phillies,91,71,Philadelphia Phillies,91,71,Philadelphia Phillies,Walls and Carlton
1979,Los Angeles Dodgers,85,77,Pittsburgh Pirates,98,64,Pittsburgh Pirates,98,64,Pittsburgh Pirates,5th WS title
1978,Los Angeles Dodgers,88,74,Pittsburgh Pirates,88,73,Philadelphia Phillies,90,72,New York Yankees (AL),Phillies NL East champs
1977,Los Angeles Dodgers,74,88,Pittsburgh Pirates,96,66,Philadelphia Phillies,101,61,New York Yankees (AL),Phillies surge with Perez
1976,Los Angeles Dodgers,84,78,Pittsburgh Pirates,88,74,Cincinnati Reds,102,60,Cincinnati Reds,Big Red Machine repeats
1975,Los Angeles Dodgers,88,74,Pittsburgh Pirates,92,69,Cincinnati Reds,108,54,Cincinnati Reds,Big Red Machine begins
1974,Los Angeles Dodgers,102,60,Pittsburgh Pirates,88,74,Atlanta Braves,88,74,Oakland A's (AL),Dodgers 2nd consecutive title
1973,Los Angeles Dodgers,79,83,Pittsburgh Pirates,96,66,New York Mets,82,79,New York Mets,Miracle Mets repeat
1972,Los Angeles Dodgers,85,70,Pittsburgh Pirates,96,59,Cincinnati Reds,95,59,Cincinnati Reds,First NLCS format
1971,Los Angeles Dodgers,89,73,Pittsburgh Pirates,97,65,Chicago Cubs,92,70,Pittsburgh Pirates,Swoboda and Sanguillen
1970,Los Angeles Dodgers,86,76,Pittsburgh Pirates,89,73,Chicago Cubs,97,65,Washington Senators (AL),108-wins Cubs
1969,Los Angeles Dodgers,85,77,Atlanta Braves,93,69,Chicago Cubs,92,70,New York Mets,First season with divisions
